date,text
2020-10-12 21:14:46,Republicans should be strongly focused on completing a wonderful stimulus package for the American People!
2020-10-12 21:11:04,"What’s going on, almost nobody is showing up for Sleepy Joe rallies!"
2020-10-12 21:10:29,"Sleepy Joe Biden had a particularly bad day today. He couldn’t remember the name of Mitt Romney, said again he was running for the U.S. Senate, and forgot what State he was in. If I did any of this, it would be disqualifying. With him, he’s just Sleepy Joe!"
2020-10-12 20:33:06,"He should sue the women, and all of those who illegally worked with them, for false and disgusting accusations!!! https://t.co/ocdEeIFxeF"
2020-10-12 20:24:48,Cuomo Dodges on Whether Sending COVID Patients into Nursing Homes Was a Mistake https://t.co/okkpcFyO3n via @BreitbartNews. He really blew it. Could have put people in Convention Center or Hospital Ship. Didn’t have a clue!!!
2020-10-12 20:22:26,https://t.co/ZHDJevNtrd https://t.co/Elask8e0XS
2020-10-12 20:16:37,Leaving now for Florida Rally. Big crowds!
2020-10-12 20:14:19,"Viewership for NBA Finals Finale Crash Nearly 70%, Beaten by Random Sunday Night Football Game https://t.co/RaDVRSE4ww via @BreitbartNews Maybe they were watching in China, but I doubt it. Zero interest!"
2020-10-12 20:08:28,"Joe Biden has let the Unions down — always has, always will! https://t.co/XIEd0dSEvA"
2020-10-12 20:01:32,"307,000 Veterans Died waiting for Healthcare at the V.A. During Sleepy Joe Biden’s Watch. 800,000 Records Stalled! A complete and total disaster."
2020-10-12 19:51:55,Heading to the Greatest Economy Of All Time!!!  VOTE
2020-10-12 19:50:46,"So Biden is coughing and hacking and playing “fingers” with his mask, all over the place, and the Fake News doesn’t want to even think about discussing it. “Journalism” has reached the all time low in history. Sadly, Lamestream knows this and doesn’t even care!"
2020-10-12 19:26:13,Almost nobody showed up to the Sleepy Joe Biden “Rally” in Ohio. The reporting and polls are a Media Con Job - Fake News. We have far more support and enthusiasm than even in 2016. November 3rd. will be a great day for America!!!  #MAGA
2020-10-12 19:21:19,RT @WhiteHouse: President @realDonaldTrump's action on critical minerals builds on his commitment to reduce our reliance on foreign imports…
2020-10-12 19:16:52,RT @GOPChairwoman: .@realDonaldTrump delivers for all Americans! https://t.co/AwUaHDyDYS
2020-10-12 19:15:43,"RT @IvankaTrump: Under President Trump’s leadership, Arizona is leading the Great American Comeback for the country. 🇺🇸

Great being back i…"
2020-10-12 19:12:57,"RT @TeamTrump: Vice President @Mike_Pence: Where Joe Biden is talking about shutting down the economy, President @realDonaldTrump is openin…"
2020-10-12 19:12:55,"RT @TeamTrump: Vice President @Mike_Pence: Joe Biden has been a cheerleader for China, President @realDonaldTrump put China on notice on da…"
2020-10-12 19:12:28,RT @WhiteHouse: President @realDonaldTrump promised the American people he would nominate judges who will interpret the Constitution faithf…
2020-10-12 19:12:12,"RT @DiamondandSilk: Hey Georgia:
Early Voting begins TODAY! Jim Crow Joe has had 47 years to provide solutions for our Country and has prov…"
2020-10-12 17:30:38,HAPPY COLUMBUS DAY TO ALL!
2020-10-12 16:54:15,STOCK MARKET UP ANOTHER 300 POINTS - GREATEST LEADING INDICATOR OF THEM ALL!!! DON’T RUIN IT WITH SLEEPY JOE!!!
2020-10-12 16:47:04,The Economy is about ready to go through the roof. Stock Market ready to break ALL-TIME RECORD. 401k’s incredible. New Jobs Record. Remember all of this when you VOTE. Sleepy Joe wants to quadruple your Taxes. Depression!!! Don’t let it happen! #MAGA
2020-10-12 15:55:49,Republicans must state loudly and clearly that WE are going to provide much better Healthcare at a much lower cost. Get the word out! Will always protect pre-existing conditions!!!
2020-10-12 15:50:07,https://t.co/599e8A6ogf
2020-10-12 15:48:57,"We will have Healthcare which is FAR BETTER than ObamaCare, at a FAR LOWER COST - BIG PREMIUM REDUCTION. PEOPLE WITH PRE EXISTING CONDITIONS WILL BE PROTECTED AT AN EVEN HIGHER LEVEL THAN NOW. HIGHLY UNPOPULAR AND UNFAIR INDIVIDUAL MANDATE ALREADY TERMINATED. YOU’RE WELCOME!"
2020-10-12 15:39:18,"So Crazy to watch Senator Blumenthal of Connecticut lecture all on morals &amp; ethics when for 25 years he said he was a Great War Hero in Vietnam, and he was never even there. He lied &amp; cheated right up until the day he got caught. Thank you to those in military who turned him in!"
2020-10-12 14:58:04,STOCK MARKET UP BIG!
2020-10-12 14:53:55,"Remember, I wouldn’t be President now had Obama and Biden properly done their job. The fact is, they were TERRIBLE!!!"
2020-10-12 14:51:09,RT @realDonaldTrump: Record 96% Approval Rating in the Republican Party. 53% Approval Rating Overall. Record 56% “Better Off Now” than 4 Ye…
2020-10-12 14:50:38,"RT @realDonaldTrump: See you in Sanford, Florida, tonight for a Big Rally. Covered Live on @OANN, @newsmax and @cspan. Enjoy!!!"
2020-10-12 14:50:22,"RT @realDonaldTrump: Illinois has no place to go. Sad, isn’t it? Vote Trump!"
2020-10-12 14:50:20,RT @realDonaldTrump: New York has gone to hell. Vote Trump!
2020-10-12 14:50:18,RT @realDonaldTrump: California is going to hell. Vote Trump!
2020-10-12 14:49:53,RT @realDonaldTrump: Save your 2nd Amendment. Vote Trump!
2020-10-12 14:49:34,RT @realDonaldTrump: SO MUCH FAKE NEWS! The Lamestream Media has gone absolutely insane because they realize we are winning BIG in all of t…
2020-10-12 14:49:23,"RT @realDonaldTrump: Remember, Stock Market at an All Time High, and going up. 401k’s at RECORD. With Sleepy Joe comes Tax Increases, jobs…"
2020-10-12 14:47:52,"November 3rd. will be the most exciting day in U.S. Election History, even more so than 2016. Tremendous excitement and enthusiasm, like perhaps never seen before. Nobody showing up to Sleepy Joe Rallies. Places are DEAD. Stiff!!! See you in Florida tonight."
2020-10-12 14:39:51,"RT @1776Stonewall: Kristen Welker, the moderator for the ""3rd"" debate, mysteriously deletes her entire twitter account. This after Steve Sc…"
2020-10-12 14:38:17,RT @Project_Veritas: We are 7-0 in lawsuits! @joerogan https://t.co/k7aiiQTYTd
2020-10-12 14:38:10,RT @newtgingrich: President Trump should replace the commissions cancelled second debate by accepting joe rogan’s offer and inviting Biden…
2020-10-12 14:37:10,"RT @BlackVoices4DJT: We’re meeting voters exactly where they are! Today we’re in North Philly and we’re coming back tomorrow!

No Days Off!…"
2020-10-12 14:36:40,RT @CorrinRankin: Black voters speak out in Delaware. #blackvoicesfortrump 👀 https://t.co/CkJ2skVn1z
2020-10-12 14:35:44,"RT @TheLeoTerrell: This is why you should listen to my new Podcast ""Your Vote is at Risk"" @ApplePodcasts @iTunes or click https://t.co/ZfVv…"
2020-10-12 14:35:10,RT @TheLeoTerrell: California is Trump Country.  @realDonaldTrump
2020-10-12 14:34:47,RT @TheLeoTerrell: I suggest you restore funding for #LAPD and solve the homeless problem. Your tenure in office is almost over. Never agai…
2020-10-12 14:34:17,RT @TheLeoTerrell: Michele Obama and @SenKamalaHarris : You called this peaceful protesting?  I do not think so. #VoteTrump2020
2020-10-12 14:33:41,"RT @kimKBaltimore: Thank you, WBFF FOX 45 for having me. I wish we had more time. The crime &amp; violence in Baltimore City is the direct resu…"
2020-10-12 14:33:21,RT @kimKBaltimore: Tens of millions of you have shared the struggle of black people in Baltimore. You cared about our black lives more than…
2020-10-12 14:32:57,"RT @ErrolWebber: Today is October 12, 2020. 

There are 22 days until President Trump is re-elected.

Liberals, what are you offended by to…"
2020-10-12 14:32:42,"RT @ErrolWebber: If you're a Republican in California and you think your vote doesn't count, you are just listening to the propaganda they…"
2020-10-12 14:28:06,"RT @EricEarly_CA: @RealJamesWoods Thank you @RealJamesWoods 

Schiff has been in Congress since 2001 and has accomplished nothing. 

https:…"
2020-10-12 14:26:38,"RT @EricEarly_CA: Californians deserve better than Adam Schiff as their Congressman.

The American people deserve better than Adam Schiff a…"
2020-10-12 14:26:23,"RT @EricEarly_CA: Are you nervous @AdamSchiff? 

He hasn’t run tv ads against a Republican opponent in 20 years.

He’s now running them aga…"
2020-10-12 14:26:19,RT @EricEarly_CA: @65su @AdamSchiff Yep. Chip in to my campaign at this link if you want him out of office. https://t.co/U5TbA1jA1K
2020-10-12 14:25:42,"RT @OANN: Political outsider Eric Early is set to take the stage to debate lying, leaking Adam Schiff. Find out who has the best plan to cl…"
2020-10-12 14:25:23,RT @Joy_Villa: EPIC! @EricEarly_CA for CONGRESS! https://t.co/BDC8BbM5lY
2020-10-12 14:25:10,"RT @EricEarly_CA: I run to:

• Remove national disgrace Adam Schiff from Congress; 

• Deal with the problems facing California’s 28th Dist…"
2020-10-12 14:24:54,"RT @EricEarly_CA: I helped organize a prayer group for the Los Angeles County deputies injured in an ambush shooting. 

What did Adam Schif…"
2020-10-12 14:24:44,"RT @EricEarly_CA: My name is Eric Early. 

I’m running against Adam Schiff. 

He doesn’t care about improving our 28th District or America.…"
2020-10-12 14:24:09,RT @EricEarly_CA: Eric Early’s New Commercial Shreds His Opponent Adam Schiff https://t.co/SHjoVGWfjT
2020-10-12 14:22:56,"Maxine Waters has long been considered “the most corrupt person in Congress”. Only habit keeps her there. Vote for Joe E. Collins lll and get this long time CROOK, Maxine Waters, out of office!!! https://t.co/NeJvqV8JXE"
2020-10-12 14:17:52,"RT @joecollins43rd: Incredibly grateful that Fox showed my ad calling out Mansion Maxine Waters today.

Very cool! https://t.co/OkAJftqRwZ"
2020-10-12 14:17:30,"RT @joecollins43rd: Do you know where I am?
Maxine Waters’ $6 Million Mansion.

Do you know where I’m NOT?
Her District.

Mansion Maxine Wa…"
2020-10-12 14:16:29,"Stock Market Up Big. Do I get no credit for this? Never even mentioned by the Fake News. A New Record for Stocks and Jobs Growth. Remember, “it’s the Economy Stupid”.  VOTE!!!"
2020-10-12 14:02:41,"Our Country cannot survive as a Socialist Nation, and that’s what the Democrats want it to be. The USA will never become a large scale version of Venezuela. All control is already being taken away from Sleepy Joe. He has Zero to say!!!"
2020-10-12 13:56:42,"The Republicans are giving the Democrats a great deal of time, which is not mandated, to make their self serving statements relative to our great new future Supreme Court Justice. Personally, I would pull back, approve, and go for STIMULUS for the people!!!"
2020-10-12 13:09:09,RT @realDonaldTrump: It’s the only way they know!
2020-10-12 13:08:45,"RT @MarshaBlackburn: Judge Amy Coney Barrett is a woman of character, a person of faith, and an exceptional mother of 7 children. https://t…"
2020-10-12 13:08:04,RT @ChuckGrassley: 2day the SCOTUS hearing for Judge Amy Coney Barrett begins at 8AM Iowa time/1st day of 4 days of hearing 2day judiciary…
2020-10-12 13:07:43,"RT @MarshaBlackburn: Democrats are trying to fundamentally, structurally change the court so they can add liberal justices and use the judi…"
